set_id,name,year,theme,subtheme,themeGroup,category,pieces,age,price,imageURL,Age_Range,Price_Range
5486-1,Fun With Duplo Bricks,2009,Duplo,,Pre-school,Normal,90,2,$29.99,https://images.brickset.com/sets/images/5486-1.jpg,1 to 4,$$
5488-1,Duplo Farm Building Set,2009,Duplo,,Pre-school,Normal,102,2,$39.99,https://images.brickset.com/sets/images/5488-1.jpg,1 to 4,$$
5538-1,Duplo Creative Bucket,2009,Duplo,,Pre-school,Normal,76,2,$29.99,https://images.brickset.com/sets/images/5538-1.jpg,1 to 4,$$
5497-1,Play with Numbers,2010,Duplo,,Pre-school,Normal,58,2,$24.99,https://images.brickset.com/sets/images/5497-1.jpg,1 to 4,$
5679-1,Police Bike,2011,Duplo,,Pre-school,Normal,8,2,$9.99,https://images.brickset.com/sets/images/5679-1.jpg,1 to 4,$
5683-1,Market Place,2011,Duplo,,Pre-school,Normal,24,2,$24.99,https://images.brickset.com/sets/images/5683-1.jpg,1 to 4,$
5695-1,Doctor's Clinic,2011,Duplo,,Pre-school,Normal,56,2,$59.99,https://images.brickset.com/sets/images/5695-1.jpg,1 to 4,$$$
5696-1,Car Wash,2011,Duplo,,Pre-school,Normal,14,2,$24.99,https://images.brickset.com/sets/images/5696-1.jpg,1 to 4,$
5794-1,Emergency Helicopter,2011,Duplo,,Pre-school,Normal,18,2,$24.99,https://images.brickset.com/sets/images/5794-1.jpg,1 to 4,$
5795-1,Big City Hospital,2011,Duplo,,Pre-school,Normal,111,2,$89.99,https://images.brickset.com/sets/images/5795-1.jpg,1 to 4,$$$
6051-1,Play with Letters Set,2011,Duplo,,Pre-school,Normal,62,2,$29.99,https://images.brickset.com/sets/images/6051-1.jpg,1 to 4,$$
6137-1,My First LEGO® DUPLO® Supermarket,2011,Duplo,,Pre-school,Normal,38,2,$19.99,https://images.brickset.com/sets/images/6137-1.jpg,1 to 4,$
6138-1,My First Fire Station,2011,Duplo,,Pre-school,Normal,60,2,$29.99,https://images.brickset.com/sets/images/6138-1.jpg,1 to 4,$$
4629-1,Build & Play Box,2012,Duplo,,Pre-school,Normal,150,2,$59.99,https://images.brickset.com/sets/images/4629-1.jpg,1 to 4,$$$
6171-1,Gas Station,2012,Duplo,,Pre-school,Normal,45,2,$29.99,https://images.brickset.com/sets/images/6171-1.jpg,1 to 4,$$
6785-1,Creative Cakes,2012,Duplo,,Pre-school,Normal,55,2,$24.99,https://images.brickset.com/sets/images/6785-1.jpg,1 to 4,$
10500-1,Horse Stable,2013,Duplo,,Pre-school,Normal,44,2,$29.99,https://images.brickset.com/sets/images/10500-1.jpg,1 to 4,$$
10505-1,Play House,2013,Duplo,,Pre-school,Normal,83,2,$59.99,https://images.brickset.com/sets/images/10505-1.jpg,1 to 4,$$$
10519-1,Garbage Truck,2013,Duplo,,Pre-school,Normal,16,2,$19.99,https://images.brickset.com/sets/images/10519-1.jpg,1 to 4,$
10520-1,Big Front Loader,2013,Duplo,,Pre-school,Normal,12,2,$19.99,https://images.brickset.com/sets/images/10520-1.jpg,1 to 4,$
10521-1,Baby Calf,2014,Duplo,,Pre-school,Normal,9,2,$6.99,https://images.brickset.com/sets/images/10521-1.jpg,1 to 4,$
10522-1,Farm Animals,2014,Duplo,,Pre-school,Normal,12,2,$9.99,https://images.brickset.com/sets/images/10522-1.jpg,1 to 4,$
10524-1,Farm Tractor,2014,Duplo,,Pre-school,Normal,29,2,$19.99,https://images.brickset.com/sets/images/10524-1.jpg,1 to 4,$
10525-1,Big Farm,2014,Duplo,,Pre-school,Normal,121,2,$59.99,https://images.brickset.com/sets/images/10525-1.jpg,1 to 4,$$$
10527-1,Ambulance,2014,Duplo,,Pre-school,Normal,14,2,$14.99,https://images.brickset.com/sets/images/10527-1.jpg,1 to 4,$
10528-1,School Bus,2014,Duplo,,Pre-school,Normal,26,2,$19.99,https://images.brickset.com/sets/images/10528-1.jpg,1 to 4,$
10529-1,Truck,2014,Duplo,,Pre-school,Normal,16,2,$14.99,https://images.brickset.com/sets/images/10529-1.jpg,1 to 4,$
10532-1,My First Police Set,2014,Duplo,,Pre-school,Normal,39,2,$24.99,https://images.brickset.com/sets/images/10532-1.jpg,1 to 4,$
10546-1,My First Shop,2014,Duplo,,Pre-school,Normal,39,2,$24.99,https://images.brickset.com/sets/images/10546-1.jpg,1 to 4,$
10565-1,Creative Suitcase,2014,Duplo,,Pre-school,Normal,135,2,$59.99,https://images.brickset.com/sets/images/10565-1.jpg,1 to 4,$$$
10568-1,Knight Tournament,2014,Duplo,,Pre-school,Normal,16,2,$9.99,https://images.brickset.com/sets/images/10568-1.jpg,1 to 4,$
